field2,week14,week15,week16,week17,week18,week19,week20
Togo,0,1,0,0,0,0,0
Tonga,0,2,0,0,0,0,0
Uganda,0,1,0,0,1,0,0
Ukraine,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0
Uzbekistan,0,0,0,0,0,0,0
Vanuatu,2,3,5,1,1,0,0
Winter Olympics 2022,0,0,0,0,0,0,0
Yemen,4,1,1,0,0,0,0
"Korea, North",0,0,0,0,0,21,-15
